r,trial,field_prime,in_N,r_prec,checked_components,structured_mismatches,negative_cross_mismatches,status
4,41,65537,16,4,320,0,1,PASS_PHASE_TOY
4,42,65537,16,4,320,0,1,PASS_PHASE_TOY
4,43,65537,16,4,320,0,1,PASS_PHASE_TOY
4,44,65537,16,4,320,0,1,PASS_PHASE_TOY
4,45,65537,16,4,320,0,1,PASS_PHASE_TOY
4,46,65537,16,4,320,0,1,PASS_PHASE_TOY
4,47,65537,16,4,320,0,1,PASS_PHASE_TOY
4,48,65537,16,4,320,0,1,PASS_PHASE_TOY
4,49,65537,16,4,320,0,1,PASS_PHASE_TOY
4,50,65537,16,4,320,0,1,PASS_PHASE_TOY
4,51,65537,16,4,320,0,1,PASS_PHASE_TOY
4,52,65537,16,4,320,0,1,PASS_PHASE_TOY
4,53,65537,16,4,320,0,1,PASS_PHASE_TOY
4,54,65537,16,4,320,0,1,PASS_PHASE_TOY
4,55,65537,16,4,320,0,1,PASS_PHASE_TOY
4,56,65537,16,4,320,0,1,PASS_PHASE_TOY
4,57,65537,16,4,320,0,1,PASS_PHASE_TOY
4,58,65537,16,4,320,0,1,PASS_PHASE_TOY
4,59,65537,16,4,320,0,1,PASS_PHASE_TOY
4,60,65537,16,4,320,0,1,PASS_PHASE_TOY
4,61,65537,16,4,320,0,1,PASS_PHASE_TOY
4,62,65537,16,4,320,0,1,PASS_PHASE_TOY
4,63,65537,16,4,320,0,1,PASS_PHASE_TOY
6,0,65537,16,4,448,0,1,PASS_PHASE_TOY
6,1,65537,16,4,448,0,1,PASS_PHASE_TOY
6,2,65537,16,4,448,0,1,PASS_PHASE_TOY
6,3,65537,16,4,448,0,1,PASS_PHASE_TOY
6,4,65537,16,4,448,0,1,PASS_PHASE_TOY
6,5,65537,16,4,448,0,1,PASS_PHASE_TOY
6,6,65537,16,4,448,0,1,PASS_PHASE_TOY
6,7,65537,16,4,448,0,1,PASS_PHASE_TOY
6,8,65537,16,4,448,0,1,PASS_PHASE_TOY
6,9,65537,16,4,448,0,1,PASS_PHASE_TOY
6,10,65537,16,4,448,0,1,PASS_PHASE_TOY
6,11,65537,16,4,448,0,1,PASS_PHASE_TOY
6,12,65537,16,4,448,0,1,PASS_PHASE_TOY
6,13,65537,16,4,448,0,1,PASS_PHASE_TOY
6,14,65537,16,4,448,0,1,PASS_PHASE_TOY
6,15,65537,16,4,448,0,1,PASS_PHASE_TOY
6,16,65537,16,4,448,0,1,PASS_PHASE_TOY
6,17,65537,16,4,448,0,1,PASS_PHASE_TOY
6,18,65537,16,4,448,0,1,PASS_PHASE_TOY
6,19,65537,16,4,448,0,1,PASS_PHASE_TOY
6,20,65537,16,4,448,0,1,PASS_PHASE_TOY
6,21,65537,16,4,448,0,1,PASS_PHASE_TOY
6,22,65537,16,4,448,0,1,PASS_PHASE_TOY
6,23,65537,16,4,448,0,1,PASS_PHASE_TOY
6,24,65537,16,4,448,0,1,PASS_PHASE_TOY
6,25,65537,16,4,448,0,1,PASS_PHASE_TOY
6,26,65537,16,4,448,0,1,PASS_PHASE_TOY
6,27,65537,16,4,448,0,1,PASS_PHASE_TOY
6,28,65537,16,4,448,0,1,PASS_PHASE_TOY
6,29,65537,16,4,448,0,1,PASS_PHASE_TOY
6,30,65537,16,4,448,0,1,PASS_PHASE_TOY
6,31,65537,16,4,448,0,1,PASS_PHASE_TOY
6,32,65537,16,4,448,0,1,PASS_PHASE_TOY
6,33,65537,16,4,448,0,1,PASS_PHASE_TOY
6,34,65537,16,4,448,0,1,PASS_PHASE_TOY
6,35,65537,16,4,448,0,1,PASS_PHASE_TOY
6,36,65537,16,4,448,0,1,PASS_PHASE_TOY
6,37,65537,16,4,448,0,1,PASS_PHASE_TOY
6,38,65537,16,4,448,0,1,PASS_PHASE_TOY
6,39,65537,16,4,448,0,1,PASS_PHASE_TOY
6,40,65537,16,4,448,0,1,PASS_PHASE_TOY
6,41,65537,16,4,448,0,1,PASS_PHASE_TOY
6,42,65537,16,4,448,0,1,PASS_PHASE_TOY
6,43,65537,16,4,448,0,1,PASS_PHASE_TOY
6,44,65537,16,4,448,0,1,PASS_PHASE_TOY
6,45,65537,16,4,448,0,1,PASS_PHASE_TOY
6,46,65537,16,4,448,0,1,PASS_PHASE_TOY
6,47,65537,16,4,448,0,1,PASS_PHASE_TOY
6,48,65537,16,4,448,0,1,PASS_PHASE_TOY
6,49,65537,16,4,448,0,1,PASS_PHASE_TOY
6,50,65537,16,4,448,0,1,PASS_PHASE_TOY
6,51,65537,16,4,448,0,1,PASS_PHASE_TOY
6,52,65537,16,4,448,0,1,PASS_PHASE_TOY
6,53,65537,16,4,448,0,1,PASS_PHASE_TOY
6,54,65537,16,4,448,0,1,PASS_PHASE_TOY
6,55,65537,16,4,448,0,1,PASS_PHASE_TOY
6,56,65537,16,4,448,0,1,PASS_PHASE_TOY
6,57,65537,16,4,448,0,1,PASS_PHASE_TOY
6,58,65537,16,4,448,0,1,PASS_PHASE_TOY
6,59,65537,16,4,448,0,1,PASS_PHASE_TOY
6,60,65537,16,4,448,0,1,PASS_PHASE_TOY
6,61,65537,16,4,448,0,1,PASS_PHASE_TOY
6,62,65537,16,4,448,0,1,PASS_PHASE_TOY
6,63,65537,16,4,448,0,1,PASS_PHASE_TOY
