implementation,r,variant,sample,N,items,reps,calls,total_ns,per_call_us,sink,status,evidence
baseline,4,combined_current,4,2048,128,8,1024,29902735,29.201889648,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_4.log
baseline,4,combined_current,5,2048,128,8,1024,30520890,29.805556641,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_5.log
baseline,4,combined_current,6,2048,128,8,1024,32465948,31.705027344,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_6.log
baseline,4,combined_current,7,2048,128,8,1024,36190131,35.341924805,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_7.log
baseline,4,combined_current,8,2048,128,8,1024,34384576,33.578687500,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_8.log
baseline,4,combined_current,9,2048,128,8,1024,33735207,32.944538086,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_combined_current_9.log
wrapper,2,torus_to_dft_rows,0,2048,128,8,1024,8907414,8.698646484,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_0.log
wrapper,2,torus_to_dft_rows,1,2048,128,8,1024,9399725,9.179418945,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_1.log
wrapper,2,torus_to_dft_rows,2,2048,128,8,1024,7995499,7.808104492,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_2.log
wrapper,2,torus_to_dft_rows,3,2048,128,8,1024,8286613,8.092395508,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_3.log
wrapper,2,torus_to_dft_rows,4,2048,128,8,1024,9645143,9.419084961,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_4.log
wrapper,2,torus_to_dft_rows,5,2048,128,8,1024,7790489,7.607899414,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_5.log
wrapper,2,torus_to_dft_rows,6,2048,128,8,1024,8361262,8.165294922,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_6.log
wrapper,2,torus_to_dft_rows,7,2048,128,8,1024,9574601,9.350196289,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_7.log
wrapper,2,torus_to_dft_rows,8,2048,128,8,1024,8933926,8.724537109,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_8.log
