r,N,T,k,current_selector_dft_polys,compact_selector_dft_polys,selector_ratio,current_dec_polys,compact_dec_polys,dec_overhead,current_selector_plus_dec,compact_selector_plus_dec,selector_plus_dec_ratio,status
2,1024,7,1,63,56,1.125000,21,28,1.333333,84,84,1.000000,PASS_LAYOUT_MODEL
2,1024,7,1,63,56,1.125000,21,28,1.333333,84,84,1.000000,PASS_LAYOUT_MODEL
4,1024,7,1,175,112,1.562500,35,56,1.600000,210,168,1.250000,PASS_LAYOUT_MODEL
4,1024,7,1,175,112,1.562500,35,56,1.600000,210,168,1.250000,PASS_LAYOUT_MODEL
6,1024,7,1,343,168,2.041667,49,84,1.714286,392,252,1.555556,PASS_LAYOUT_MODEL
6,1024,7,1,343,168,2.041667,49,84,1.714286,392,252,1.555556,PASS_LAYOUT_MODEL
2,2048,7,1,63,56,1.125000,21,28,1.333333,84,84,1.000000,PASS_LAYOUT_MODEL
4,2048,7,1,175,112,1.562500,35,56,1.600000,210,168,1.250000,PASS_LAYOUT_MODEL
6,2048,7,1,343,168,2.041667,49,84,1.714286,392,252,1.555556,PASS_LAYOUT_MODEL
