r,seed,stage,trials,points,pair_failures,pair_log2_sigma_torus,pair_log2_max_abs_torus,source_log
2,6864034,blind_rotate_coeff0,1,4096,0,-14.912,-12.568,repro/stage36_stage_noise_seeds10/r2/seed_6864034.log
2,6864034,extract,1,4096,0,-14.912,-12.568,repro/stage36_stage_noise_seeds10/r2/seed_6864034.log
2,6864034,materialize_tlwe,1,4096,0,-14.912,-12.568,repro/stage36_stage_noise_seeds10/r2/seed_6864034.log
2,6864034,packing_ks,1,4096,0,-14.912,-12.586,repro/stage36_stage_noise_seeds10/r2/seed_6864034.log
2,6864034,hw_ks,1,4096,0,-8.042,-6.105,repro/stage36_stage_noise_seeds10/r2/seed_6864034.log
4,6864025,blind_rotate_coeff0,1,8192,0,-14.959,-13.086,repro/stage36_stage_noise_seeds10/r4/seed_6864025.log
4,6864025,extract,1,8192,0,-14.959,-13.086,repro/stage36_stage_noise_seeds10/r4/seed_6864025.log
4,6864025,materialize_tlwe,1,8192,0,-14.959,-13.086,repro/stage36_stage_noise_seeds10/r4/seed_6864025.log
4,6864025,packing_ks,1,8192,0,-14.958,-13.092,repro/stage36_stage_noise_seeds10/r4/seed_6864025.log
4,6864025,hw_ks,1,8192,0,-8.071,-6.131,repro/stage36_stage_noise_seeds10/r4/seed_6864025.log
4,6864026,blind_rotate_coeff0,1,8192,0,-14.471,-12.480,repro/stage36_stage_noise_seeds10/r4/seed_6864026.log
4,6864026,extract,1,8192,0,-14.471,-12.480,repro/stage36_stage_noise_seeds10/r4/seed_6864026.log
4,6864026,materialize_tlwe,1,8192,0,-14.471,-12.480,repro/stage36_stage_noise_seeds10/r4/seed_6864026.log
4,6864026,packing_ks,1,8192,0,-14.470,-12.469,repro/stage36_stage_noise_seeds10/r4/seed_6864026.log
4,6864026,hw_ks,1,8192,0,-8.052,-6.207,repro/stage36_stage_noise_seeds10/r4/seed_6864026.log
4,6864027,blind_rotate_coeff0,1,8192,0,-14.929,-12.903,repro/stage36_stage_noise_seeds10/r4/seed_6864027.log
4,6864027,extract,1,8192,0,-14.929,-12.903,repro/stage36_stage_noise_seeds10/r4/seed_6864027.log
4,6864027,materialize_tlwe,1,8192,0,-14.929,-12.903,repro/stage36_stage_noise_seeds10/r4/seed_6864027.log
4,6864027,packing_ks,1,8192,0,-14.928,-12.893,repro/stage36_stage_noise_seeds10/r4/seed_6864027.log
4,6864027,hw_ks,1,8192,0,-8.049,-5.878,repro/stage36_stage_noise_seeds10/r4/seed_6864027.log
4,6864028,blind_rotate_coeff0,1,8192,0,-14.738,-12.576,repro/stage36_stage_noise_seeds10/r4/seed_6864028.log
4,6864028,extract,1,8192,0,-14.738,-12.576,repro/stage36_stage_noise_seeds10/r4/seed_6864028.log
4,6864028,materialize_tlwe,1,8192,0,-14.738,-12.576,repro/stage36_stage_noise_seeds10/r4/seed_6864028.log
4,6864028,packing_ks,1,8192,0,-14.739,-12.589,repro/stage36_stage_noise_seeds10/r4/seed_6864028.log
4,6864028,hw_ks,1,8192,0,-8.070,-5.889,repro/stage36_stage_noise_seeds10/r4/seed_6864028.log
4,6864029,blind_rotate_coeff0,1,8192,0,-14.907,-12.820,repro/stage36_stage_noise_seeds10/r4/seed_6864029.log
4,6864029,extract,1,8192,0,-14.907,-12.820,repro/stage36_stage_noise_seeds10/r4/seed_6864029.log
4,6864029,materialize_tlwe,1,8192,0,-14.907,-12.820,repro/stage36_stage_noise_seeds10/r4/seed_6864029.log
4,6864029,packing_ks,1,8192,0,-14.906,-12.816,repro/stage36_stage_noise_seeds10/r4/seed_6864029.log
4,6864029,hw_ks,1,8192,0,-8.055,-6.171,repro/stage36_stage_noise_seeds10/r4/seed_6864029.log
4,6864030,blind_rotate_coeff0,1,8192,0,-14.940,-12.870,repro/stage36_stage_noise_seeds10/r4/seed_6864030.log
4,6864030,extract,1,8192,0,-14.940,-12.870,repro/stage36_stage_noise_seeds10/r4/seed_6864030.log
4,6864030,materialize_tlwe,1,8192,0,-14.940,-12.870,repro/stage36_stage_noise_seeds10/r4/seed_6864030.log
4,6864030,packing_ks,1,8192,0,-14.939,-12.868,repro/stage36_stage_noise_seeds10/r4/seed_6864030.log
4,6864030,hw_ks,1,8192,0,-8.067,-6.052,repro/stage36_stage_noise_seeds10/r4/seed_6864030.log
4,6864031,blind_rotate_coeff0,1,8192,0,-14.774,-12.792,repro/stage36_stage_noise_seeds10/r4/seed_6864031.log
4,6864031,extract,1,8192,0,-14.774,-12.792,repro/stage36_stage_noise_seeds10/r4/seed_6864031.log
4,6864031,materialize_tlwe,1,8192,0,-14.774,-12.792,repro/stage36_stage_noise_seeds10/r4/seed_6864031.log
4,6864031,packing_ks,1,8192,0,-14.773,-12.811,repro/stage36_stage_noise_seeds10/r4/seed_6864031.log
4,6864031,hw_ks,1,8192,0,-8.082,-6.066,repro/stage36_stage_noise_seeds10/r4/seed_6864031.log
4,6864032,blind_rotate_coeff0,1,8192,0,-14.870,-12.635,repro/stage36_stage_noise_seeds10/r4/seed_6864032.log
4,6864032,extract,1,8192,0,-14.870,-12.635,repro/stage36_stage_noise_seeds10/r4/seed_6864032.log
4,6864032,materialize_tlwe,1,8192,0,-14.870,-12.635,repro/stage36_stage_noise_seeds10/r4/seed_6864032.log
4,6864032,packing_ks,1,8192,0,-14.869,-12.638,repro/stage36_stage_noise_seeds10/r4/seed_6864032.log
4,6864032,hw_ks,1,8192,0,-8.069,-6.126,repro/stage36_stage_noise_seeds10/r4/seed_6864032.log
4,6864033,blind_rotate_coeff0,1,8192,0,-14.537,-11.993,repro/stage36_stage_noise_seeds10/r4/seed_6864033.log
4,6864033,extract,1,8192,0,-14.537,-11.993,repro/stage36_stage_noise_seeds10/r4/seed_6864033.log
4,6864033,materialize_tlwe,1,8192,0,-14.537,-11.993,repro/stage36_stage_noise_seeds10/r4/seed_6864033.log
4,6864033,packing_ks,1,8192,0,-14.536,-11.992,repro/stage36_stage_noise_seeds10/r4/seed_6864033.log
4,6864033,hw_ks,1,8192,0,-8.050,-6.005,repro/stage36_stage_noise_seeds10/r4/seed_6864033.log
4,6864034,blind_rotate_coeff0,1,8192,0,-14.858,-12.709,repro/stage36_stage_noise_seeds10/r4/seed_6864034.log
4,6864034,extract,1,8192,0,-14.858,-12.709,repro/stage36_stage_noise_seeds10/r4/seed_6864034.log
4,6864034,materialize_tlwe,1,8192,0,-14.858,-12.709,repro/stage36_stage_noise_seeds10/r4/seed_6864034.log
4,6864034,packing_ks,1,8192,0,-14.859,-12.710,repro/stage36_stage_noise_seeds10/r4/seed_6864034.log
4,6864034,hw_ks,1,8192,0,-8.055,-6.218,repro/stage36_stage_noise_seeds10/r4/seed_6864034.log
