variant,component,component_us,calls,share_of_profile_full,full_us,source_run_log
backend_sub_decomp_avx,rgsw_monomial,25739986.000,40,0.974357,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,cmux_total,25548711.000,573440,0.967116,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,mat_ep,16068539.000,573440,0.608255,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,cmux_from_dft,9423998.000,573440,0.356734,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,cmux_add,0.000,573440,0.000000,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,cmux_sub,0.000,573440,0.000000,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,ncmux_total,408977.000,5080,0.015481,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,ncmux_auto,164009.000,5080,0.006208,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,dual_sub_pair,0.000,0,0.000000,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,sub_a_total,656247.000,39,0.024841,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,sub_a_rotate,527935.000,79872,0.019984,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,copyback,0.000,0,0.000000,26417420.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_dual,rgsw_monomial,25310370.000,40,0.974352,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_total,25056781.000,573440,0.964590,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,mat_ep,15691590.000,573440,0.604066,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_from_dft,9309145.000,573440,0.358366,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_add,0.000,573440,0.000000,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,cmux_sub,58925.000,573440,0.002268,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,ncmux_total,446063.000,5080,0.017172,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,ncmux_auto,166834.000,5080,0.006422,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,dual_sub_pair,58925.000,5080,0.002268,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,sub_a_total,648760.000,39,0.024975,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,sub_a_rotate,526731.000,79872,0.020277,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
backend_sub_decomp_dual,copyback,0.000,0,0.000000,25976614.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
