mode,r,trials,points,pair_failures,pair_log2_sigma_torus,pair_log2_max_abs_torus,gate,evidence
include_zero,1,3,49152,0,-13.014,-11.968,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
include_zero,2,3,98304,0,-13.025,-11.942,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
include_zero,4,3,196608,0,-13.009,-11.971,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
ternary,1,3,49152,0,-13.276,-12.057,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
ternary,2,3,98304,0,-13.237,-11.990,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
ternary,4,3,196608,0,-13.270,-11.991,PASS,repro/stage258_nonbinary_sparsemul_correctness_noise/run_ffnt_nonbinary_noise.log
