r,N,current_requested_bytes,lane_local_requested_bytes,requested_ratio_lane_over_current,current_rss_kb,lane_local_rss_kb,rss_ratio_lane_over_current,current_product_terms,lane_local_product_terms,product_ratio_current_over_lane,product_over_requested_ratio,status
2,2048,295200,393600,1.333333,1632,1676,1.026961,9,5,1.800000,1.350000,LAYOUT_NOT_FATAL
4,2048,656000,721600,1.100000,1936,1928,0.995868,25,9,2.777778,2.525253,LAYOUT_NOT_FATAL
6,2048,1148000,1049600,0.914286,2456,2316,0.942997,49,13,3.769231,4.122596,LAYOUT_NOT_FATAL
8,2048,1771200,1377600,0.777778,2992,2708,0.905080,81,17,4.764706,6.126050,LAYOUT_NOT_FATAL
2,4096,590112,786816,1.333333,1940,2212,1.140206,9,5,1.800000,1.350000,LAYOUT_NOT_FATAL
4,4096,1311360,1442496,1.100000,2744,2744,1.000000,25,9,2.777778,2.525253,LAYOUT_NOT_FATAL
6,4096,2294880,2098176,0.914286,3484,3664,1.051665,49,13,3.769231,4.122596,LAYOUT_NOT_FATAL
8,4096,3540672,2753856,0.777778,4624,4048,0.875433,81,17,4.764706,6.126050,LAYOUT_NOT_FATAL
