case,param,r,backend,metric,samples,correctness,pvw_t_over_r_mean_us,pvw_t_over_r_ci95_us,scalar_t_over_r_mean_us,speedup_mean,speedup_ci95,noise_trials,noise_pair_failures,time_maxrss_kb,evidence_stage,source,claim_status
SET_2_3_2048_r2,SET_2_3_2048,2,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,6612564.550,6537048.579..6688080.521,11056987.250,1.672200,1.651056..1.693344,10,0,1222776,Stage343,repro/stage343_target_r2_current_head_topup/summary.csv,current_head_highstat
SET_2_3_2048_r4,SET_2_3_2048,4,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,6117083.425,6073694.765..6160472.085,10690503.200,1.747647,,10,0,2415796,Stage331,repro/stage331_current_head_highstat_refresh/summary.csv,current_head_highstat
SET_4_5_2048_r2,SET_4_5_2048,2,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,7117983.900,7017192.743..7218775.057,12165024.000,1.709700,1.673443..1.745957,10,0,1254060,Stage344,repro/stage344_added_parameter_topups/perf_summary.csv,current_head_highstat
SET_4_5_2048_r4,SET_4_5_2048,4,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,8121233.000,7653364.125..8589101.875,14132476.475,1.738200,1.712133..1.764267,10,0,2444492,Stage344,repro/stage344_added_parameter_topups/perf_summary.csv,current_head_highstat
SET_2_3_4096_r2,SET_2_3_4096,2,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,13561017.550,13010953.161..14111081.939,21864209.800,1.612100,1.601707..1.622493,10,0,2382964,Stage344,repro/stage344_added_parameter_topups/perf_summary.csv,current_head_highstat
SET_2_3_4096_r4,SET_2_3_4096,4,spqlios_avx512-wsl,complete_sab_T_bootstrap_over_r_vs_repeated_scalar,10,Pass,11753773.550,11245296.783..12262250.317,19235637.400,1.640600,1.578981..1.702219,10,0,4618504,Stage344,repro/stage344_added_parameter_topups/perf_summary.csv,current_head_highstat
